,CourseCode,Section,CourseTitle,CourseTags,Prerequisites,CourseCluster,InstructionalFormat
71,BIO 222,02,Research and Analysis,GER - Writing :: WR (Writing-Research Intensive)/IDS :: Data Analytics/IDS :: Neuroscience,(1 FYW course) AND (1 Biology course),BIO 222-02L - Research and Analysis,Lecture
72,BIO 222,02L,Research and Analysis,GER - Writing :: WR (Writing-Research Intensive)/IDS :: Data Analytics/IDS :: Neuroscience,(1 FYW course) AND (1 Biology course),BIO 222-02 - Research and Analysis,Laboratory
73,BIO 303,01,Biochemistry of the Cell,IDS :: Neuroscience,PRQ  - Department Chair Permission Required,BIO 303-01L - Biochemistry of the Cell,Lecture
74,BIO 303,01L,Biochemistry of the Cell,IDS :: Neuroscience,PRQ  - Department Chair Permission Required,BIO 303-01 - Biochemistry of the Cell,Laboratory
75,BIO 320,01,Animal Physiology,IDS :: Neuroscience,BIO 222 Research and Analysis,BIO 320-01L - Animal Physiology,Lecture
76,BIO 320,01L,Animal Physiology,IDS :: Neuroscience,BIO 222 Research and Analysis,BIO 320-01 - Animal Physiology,Laboratory
77,BIO 322,01,Human Physiology,IDS :: Neuroscience,BIO 111 Foundations of Biology,BIO 322-01L - Human Physiology,Lecture
78,BIO 322,01L,Human Physiology,IDS :: Neuroscience,BIO 111 Foundations of Biology,BIO 322-01 - Human Physiology,Laboratory
79,BIO 340,01,Ecology,GER - Global Awareness :: NE (Humans and the Natural Environment)/IDS :: Environmental Studies,BIO 222 Research and Analysis,BIO 340-01L - Ecology,Lecture
80,BIO 340,01L,Ecology,GER - Global Awareness :: NE (Humans and the Natural Environment)/IDS :: Environmental Studies,BIO 222 Research and Analysis,BIO 340-01 - Ecology,Laboratory
81,BIO 340,02,Ecology,GER - Global Awareness :: NE (Humans and the Natural Environment)/IDS :: Environmental Studies,BIO 222 Research and Analysis,BIO 340-02L - Ecology,Lecture
82,BIO 340,02L,Ecology,GER - Global Awareness :: NE (Humans and the Natural Environment)/IDS :: Environmental Studies,BIO 222 Research and Analysis,BIO 340-02 - Ecology,Laboratory
83,BIO 401,01,Economic Botany,GER - Global Awareness :: NE (Humans and the Natural Environment),BIO 101 OR BIO 102 OR BIO 111,BIO 401-01L - Economic Botany,Lecture
84,BIO 401,01L,Economic Botany,GER - Global Awareness :: NE (Humans and the Natural Environment),BIO 101 OR BIO 102 OR BIO 111,BIO 401-01 - Economic Botany,Laboratory
85,BIO 402,TS,Belize: Biodiversity and Culture,GER - CORE :: NW - Natural World/GER - Global Awareness :: WC (World Cultures)/Special Course :: Study Away,(BIO 101 OR BIO 102 OR BIO 111) AND instructor permission,BIO 402-TSL - Belize: Biodiversity and Culture,Lecture
